Model ISO/Region Weighted Forecast - Forecast Updated Feb 9 2022 0600 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Min Temp 2/9/2022 00Z,Max Temp 2/9/2022 00Z,Average Temp DFN 2/9/2022 00Z,Min Temp 2/8/2022 18Z,Max Temp 2/8/2022 18Z,Average Temp DFN 2/8/2022 18Z,Min Temp 2/8/2022 12Z,Max Temp 2/8/2022 12Z,Average Temp DFN 2/8/2022 12Z,Min Temp 2/8/2022 06Z,Max Temp 2/8/2022 06Z,Average Temp DFN 2/8/2022 06Z,Min Temp 2/8/2022 00Z,Max Temp 2/8/2022 00Z,Average Temp DFN 2/8/2022 00Z,Min Temp 2/7/2022 18Z,Max Temp 2/7/2022 18Z,Average Temp DFN 2/7/2022 18Z,Min Temp Differences 02/09 00Z-02/08 18Z,Max Temp Differences 02/09 00Z-02/08 18Z,Min Temp Differences 02/09 00Z-02/08 12Z,Max Temp Differences 02/09 00Z-02/08 12Z,Min Temp Differences 02/09 00Z-02/08 06Z,Max Temp Differences 02/09 00Z-02/08 06Z,Min Temp Differences 02/09 00Z-02/08 00Z,Max Temp Differences 02/09 00Z-02/08 00Z,Min Temp Differences 02/09 00Z-02/07 18Z,Max Temp Differences 02/09 00Z-02/07 18Z
Day 1 - 2/9/2022,7,11,5.21,7,10,5.49,7,11,5.57,7,11,5.47,-,-,-,6,11,5.02,0,1,0,0,0,0,NA,NA,1,0
Day 2 - 2/10/2022,3,7,1.66,3,8,1.93,3,7,1.7,2,7,1.17,-,-,-,8,10,5.38,0,-1,0,0,1,0,NA,NA,-5,-3
Day 3 - 2/11/2022,1,7,0.56,1,7,0.44,1,7,0.47,1,6,-0.06,-,-,-,3,8,1.56,0,0,0,0,0,1,NA,NA,-2,-1
Day 4 - 2/12/2022,0,7,-0.11,0,6,-0.58,0,6,-0.37,0,6,-0.59,-,-,-,1,6,-0.13,0,1,0,1,0,1,NA,NA,-1,1
Day 5 - 2/13/2022,2,8,1.61,2,8,1.27,1,8,0.84,2,8,1.23,-,-,-,0,5,-0.99,0,0,1,0,0,0,NA,NA,2,3
Day 6 - 2/14/2022,3,8,1.7,4,8,2.22,4,8,2.39,4,8,2.53,-,-,-,1,7,0.22,-1,0,-1,0,-1,0,NA,NA,2,1
Day 7 - 2/15/2022,1,7,0.28,3,7,1.13,2,7,1.01,3,8,1.47,-,-,-,5,9,2.88,-2,0,-1,0,-2,-1,NA,NA,-4,-2
Day 8 - 2/16/2022,3,9,1.98,3,9,2.18,4,8,2.07,4,9,2.83,-,-,-,4,8,2.37,0,0,-1,1,-1,0,NA,NA,-1,1
Day 9 - 2/17/2022,5,10,3.86,5,10,3.79,5,10,3.62,5,10,3.36,-,-,-,5,9,3.27,0,0,0,0,0,0,NA,NA,0,1
Day 10 - 2/18/2022,4,8,2.3,4,8,1.94,5,9,3.15,5,10,3.57,-,-,-,4,9,2.8,0,0,-1,-1,-1,-2,NA,NA,0,-1
Day 11 - 2/19/2022,3,8,1.66,3,8,1.26,4,8,1.86,3,8,1.83,-,-,-,6,9,3.74,0,0,-1,0,0,0,NA,NA,-3,-1
Day 12 - 2/20/2022,3,8,1.55,3,9,2.05,3,8,1.76,3,8,1.71,-,-,-,4,8,2.39,0,-1,0,0,0,0,NA,NA,-1,0
Day 13 - 2/21/2022,4,9,2.41,4,9,2.41,4,8,2.14,3,8,1.53,-,-,-,4,8,1.84,0,0,0,1,1,1,NA,NA,0,1
